"CommonName","Scientific.name","Category","BOCC.category","Schedule1","Annex2","group","protection"
"tennessee warbler","Leiothlypis peregrina","A",NA,0,NA,"bird","None"
"common yellowthroat","Geothlypis trichas","A",NA,0,NA,"bird","None"
"hooded warbler","Setophaga citrina","A",NA,0,NA,"bird","None"
"american redstart","Setophaga ruticilla","AE",NA,0,NA,"bird","None"
"cape may warbler","Setophaga tigrina","A",NA,0,NA,"bird","None"
"northern parula","Setophaga americana","AE",NA,0,NA,"bird","None"
"magnolia warbler","Setophaga magnolia","AE",NA,0,NA,"bird","None"
"bay-breasted warbler","Setophaga castanea","A",NA,0,NA,"bird","None"
"blackburnian warbler","Setophaga fusca","A",NA,0,NA,"bird","None"
"yellow warbler","Setophaga aestiva","A",NA,0,NA,"bird","None"
"chestnut-sided warbler","Setophaga pensylvanica","A",NA,0,NA,"bird","None"
"blackpoll warbler","Setophaga striata","AE",NA,0,NA,"bird","None"
"yellow-rumped warbler","Setophaga coronata","A",NA,0,NA,"bird","None"
"wilson's warbler","Cardellina pusilla","A",NA,0,NA,"bird","None"
"summer tanager","Piranga rubra","A",NA,0,NA,"bird","None"
"scarlet tanager","Piranga olivacea","A",NA,0,NA,"bird","None"
"rose-breasted grosbeak","Pheucticus ludovicianus","AF",NA,0,NA,"bird","None"
"indigo bunting","Passerina cyanea","AE",NA,0,NA,"bird","None"
"Greater horseshoe","Rhinolophus ferrumequinum",NA,NA,NA,1,"bat","Annex2"
"Lesser horseshoe","Rhinolophus hipposideros",NA,NA,NA,1,"bat","Annex2"
"Barbastelle","Barbastella barbastellus",NA,NA,NA,1,"bat","Annex2"
"Bechstein's","Myotis bechsteinii",NA,NA,NA,1,"bat","Annex2"
"Alcathoe","Myotis alcathoe",NA,NA,NA,0,"bat","None"
"Brandt's Bat","Myotis brandtii",NA,NA,NA,0,"bat","None"
"Brown long-eared bat","Plecotus auritus",NA,NA,NA,0,"bat","None"
"Common pipistrelle","Pipistrellus pipistrellus",NA,NA,NA,0,"bat","None"
"Daubeton's bat","Myotis daubentonii",NA,NA,NA,0,"bat","None"
"Grey long-eared bat","Plecotus austriacus",NA,NA,NA,0,"bat","None"
"Leisler's bat","Nyctalus leisleri",NA,NA,NA,0,"bat","None"
"Nathusius' pipistrelle","Pipistrellus nathusii",NA,NA,NA,0,"bat","None"
"Natterer's bat","Myotis nattereri",NA,NA,NA,0,"bat","None"
"Noctule","Nyctalus noctula",NA,NA,NA,0,"bat","None"
"Serotine","Eptesicus serotinus",NA,NA,NA,0,"bat","None"
"Soprano pipistrelle","Pipistrellus pygmaeus",NA,NA,NA,0,"bat","None"
"Whiskered bat","Myotis mystacinus",NA,NA,NA,0,"bat","None"
"Greater mouse-eared bat","Myotis myotis",NA,NA,NA,0,"bat","None"
